poll	workload	req_delay	req_min	req_max	rep_delay	rep_min	rep_max
1030	195	313.634	309.635	316.287	0.012	0.004	0.028
1035	195	312.064	307.404	315.090	0.010	0.004	0.021
1040	195	314.747	312.867	315.793	0.011	0.004	0.020
1045	195	314.604	312.822	316.606	0.012	0.004	0.026
1050	195	315.258	313.287	316.940	0.014	0.004	0.032
1055	195	312.251	309.192	314.256	0.014	0.004	0.035
1060	195	314.023	310.654	316.425	0.014	0.004	0.032
1065	195	316.170	314.513	317.374	0.010	0.004	0.023
1070	195	318.429	315.015	321.090	0.016	0.004	0.040
1075	195	318.793	317.629	320.146	0.010	0.004	0.022
1080	195	318.618	315.614	321.313	0.015	0.004	0.037
1085	195	316.478	314.372	318.496	0.012	0.004	0.027
1090	195	317.166	313.174	320.874	0.010	0.004	0.022
1095	195	317.492	314.971	320.261	0.010	0.004	0.022
1100	195	318.083	315.827	319.905	0.011	0.004	0.025
1105	195	319.074	317.067	321.145	0.014	0.004	0.034
1110	195	321.750	320.659	322.956	0.008	0.004	0.015
1115	195	320.526	318.868	321.515	0.007	0.004	0.014
1120	195	320.422	317.810	323.322	0.011	0.004	0.024
1125	195	320.588	317.924	322.181	0.013	0.004	0.032
1130	195	322.849	320.852	324.098	0.010	0.004	0.020
1135	195	321.807	317.357	324.446	0.010	0.004	0.021
1140	195	322.809	318.476	325.630	0.009	0.004	0.018
1145	195	321.987	318.748	323.946	0.010	0.004	0.020
1150	195	322.513	319.425	325.084	0.009	0.004	0.019
1155	195	324.223	320.287	326.488	0.014	0.004	0.034
1160	195	324.426	321.010	326.842	0.008	0.004	0.017
1165	195	324.331	320.911	326.775	0.010	0.004	0.021
1170	195	325.635	322.616	327.887	0.014	0.004	0.033
1175	195	326.244	323.957	328.494	0.014	0.004	0.033
1180	195	326.617	323.461	329.105	0.007	0.004	0.014
1185	195	260.275	258.432	261.505	0.012	0.004	0.026
1190	195	326.997	326.359	327.974	0.013	0.004	0.031
1195	195	326.541	325.927	327.458	0.013	0.004	0.030
1200	195	326.754	326.318	327.571	0.012	0.004	0.027
1205	195	327.541	326.801	328.548	0.013	0.004	0.030
1210	195	328.559	326.742	329.528	0.012	0.004	0.028
1215	195	329.089	327.608	330.039	0.012	0.004	0.029
1220	195	330.892	328.922	331.999	0.012	0.004	0.029
1225	195	329.136	326.702	331.262	0.013	0.004	0.032
1230	195	330.979	328.235	332.650	0.007	0.004	0.014
1235	195	332.003	329.758	334.185	0.014	0.004	0.035
1240	195	331.953	328.378	334.340	0.009	0.004	0.019
1245	195	332.828	329.373	336.180	0.010	0.004	0.019
1250	195	333.192	331.050	337.405	0.012	0.004	0.028
1255	195	333.608	330.715	337.063	0.009	0.004	0.019
1260	195	334.295	331.476	337.049	0.008	0.004	0.017
1265	195	334.800	331.728	337.929	0.010	0.004	0.021
1270	195	335.704	333.124	338.745	0.009	0.004	0.017
1275	195	334.989	330.725	338.189	0.010	0.004	0.020
1280	195	335.958	333.925	339.123	0.009	0.004	0.018
1285	195	335.387	331.523	339.021	0.008	0.004	0.017
1290	195	336.776	332.716	340.166	0.011	0.004	0.023
1295	195	334.785	331.066	339.073	0.014	0.004	0.035
1300	195	337.304	333.491	340.969	0.007	0.004	0.013
1305	195	337.831	333.066	341.762	0.009	0.004	0.017
1310	195	337.455	332.515	340.389	0.011	0.004	0.023
1315	195	337.946	333.756	340.419	0.008	0.004	0.016
1320	195	338.145	334.225	342.345	0.010	0.004	0.020
1325	195	340.947	338.447	345.290	0.014	0.004	0.033
1330	195	337.801	335.153	341.803	0.010	0.004	0.021
1335	195	338.299	336.266	341.534	0.012	0.004	0.022
1340	195	341.538	338.633	346.522	0.012	0.004	0.027
1345	195	341.511	338.735	345.771	0.011	0.004	0.026
1350	195	341.781	338.293	346.464	0.013	0.004	0.032
1355	195	342.000	338.915	347.152	0.011	0.004	0.024
1360	195	342.585	339.433	348.327	0.012	0.004	0.029
1365	195	343.034	340.503	347.501	0.012	0.004	0.027
1370	195	342.757	341.005	346.123	0.014	0.004	0.034
1375	195	342.270	338.465	345.717	0.016	0.004	0.038
1380	195	342.613	337.882	346.834	0.012	0.004	0.028
1385	195	342.780	337.822	346.913	0.011	0.004	0.025
1390	195	342.748	338.989	344.923	0.013	0.004	0.030
1395	195	344.017	340.434	346.500	0.011	0.004	0.026
1400	195	344.151	340.352	346.521	0.013	0.004	0.031
1405	195	345.016	340.813	347.177	0.014	0.004	0.033
1410	195	345.495	341.265	347.630	0.013	0.004	0.030
1415	195	345.581	341.707	348.113	0.013	0.004	0.031
1420	195	345.175	341.521	347.676	0.009	0.004	0.017
1425	195	345.755	341.431	348.344	0.011	0.004	0.025
1430	195	346.379	341.832	349.336	0.014	0.004	0.035
1435	195	347.187	342.799	350.324	0.015	0.004	0.036
1440	195	347.393	342.035	350.145	0.014	0.004	0.033
1445	195	347.786	342.402	351.010	0.011	0.004	0.025
1450	195	348.186	342.179	351.470	0.013	0.004	0.032
1455	195	348.938	342.520	353.021	0.013	0.004	0.030
1460	195	349.332	343.441	352.924	0.012	0.004	0.028
1465	195	348.906	343.284	352.124	0.007	0.004	0.012
1470	195	349.387	342.939	353.776	0.013	0.004	0.032
1475	195	349.092	344.252	352.113	0.017	0.004	0.042
1480	195	347.586	343.474	350.065	0.011	0.004	0.026
1485	195	349.348	342.618	352.940	0.015	0.004	0.035
1490	195	349.673	342.869	354.453	0.014	0.004	0.032
1495	195	350.155	342.492	355.354	0.010	0.004	0.022
20	200	1.466	0.014	2.418	0.401	0.244	0.601
25	200	0.680	0.022	1.019	0.395	0.231	0.618
30	200	0.727	0.023	1.197	0.198	0.154	0.275
35	200	0.024	0.024	0.024	0.580	0.554	0.611
40	200	0.027	0.025	0.028	0.308	0.021	0.674
