poll	workload	req_delay	req_min	req_max	rep_delay	rep_min	rep_max
1400	70	2.258	2.179	2.336	0.004	0.004	0.004
1420	70	2.310	2.223	2.397	0.004	0.004	0.004
1440	70	2.627	2.514	2.740	0.004	0.004	0.004
1460	70	2.664	2.542	2.786	0.004	0.004	0.004
1480	70	2.866	2.735	2.997	0.004	0.004	0.004
1500	70	3.297	3.137	3.456	0.004	0.004	0.004
1520	70	3.559	3.394	3.724	0.004	0.004	0.004
1540	70	3.598	3.423	3.772	0.004	0.004	0.004
1560	70	4.070	3.876	4.263	0.006	0.004	0.007
1580	70	4.433	4.212	4.654	0.004	0.004	0.004
1600	70	5.076	4.826	5.326	0.005	0.004	0.006
1620	70	5.802	5.516	6.088	0.005	0.004	0.006
1640	70	6.350	6.074	6.626	0.004	0.004	0.004
1660	70	7.452	7.203	7.701	0.004	0.004	0.004
1680	70	8.489	8.258	8.721	0.004	0.004	0.004
1700	70	9.824	9.620	10.028	0.004	0.004	0.004
1720	70	13.526	13.316	13.737	0.004	0.004	0.004
1740	70	17.196	16.978	17.413	0.004	0.004	0.004
1760	70	22.083	21.980	22.185	0.004	0.004	0.004
1780	70	25.348	25.244	25.452	0.004	0.004	0.004
1800	70	30.141	30.095	30.188	0.004	0.004	0.004
1820	70	33.286	33.228	33.344	0.004	0.004	0.004
1840	70	36.240	36.057	36.424	0.004	0.004	0.004
1860	70	40.675	40.473	40.877	0.004	0.004	0.004
1880	70	45.242	45.011	45.473	0.004	0.004	0.004
1900	70	49.489	49.305	49.672	0.004	0.004	0.004
1920	70	53.939	53.640	54.238	0.004	0.004	0.004
1940	70	58.350	58.027	58.674	0.004	0.004	0.004
1960	70	62.407	61.902	62.912	0.004	0.004	0.004
1980	70	66.608	66.011	67.205	0.004	0.004	0.004
2000	70	70.587	69.956	71.219	0.004	0.004	0.004
2020	70	74.279	73.787	74.772	0.004	0.004	0.004
2040	70	76.391	75.930	76.852	0.004	0.004	0.004
2060	70	79.530	79.383	79.677	0.004	0.004	0.004
2080	70	83.278	83.233	83.322	0.005	0.004	0.005
2100	70	86.625	86.337	86.913	0.004	0.004	0.004
2120	70	90.331	90.138	90.525	0.004	0.004	0.004
2140	70	93.667	93.578	93.757	0.004	0.004	0.004
2160	70	96.974	96.721	97.227	0.004	0.004	0.004
2180	70	100.188	100.113	100.263	0.004	0.004	0.004
2200	70	102.622	102.423	102.822	0.004	0.004	0.004
2220	70	105.501	105.428	105.574	0.004	0.004	0.004
2240	70	108.498	108.198	108.797	0.004	0.004	0.004
2260	70	111.864	111.826	111.903	0.004	0.004	0.004
2280	70	115.203	115.165	115.242	0.004	0.004	0.004
2300	70	117.591	117.314	117.869	0.004	0.004	0.004
2320	70	120.732	120.438	121.026	0.004	0.004	0.004
2340	70	123.684	123.521	123.848	0.004	0.004	0.004
2360	70	126.572	126.406	126.738	0.004	0.004	0.004
2380	70	128.880	128.023	129.737	0.004	0.004	0.004
2400	70	131.436	131.263	131.609	0.004	0.004	0.004
2420	70	134.380	134.280	134.480	0.004	0.004	0.004
2440	70	137.198	136.903	137.492	0.004	0.004	0.004
2460	70	139.605	138.923	140.287	0.004	0.004	0.004
2480	70	142.337	141.630	143.043	0.004	0.004	0.004
2500	70	144.190	143.842	144.538	0.004	0.004	0.004
2520	70	147.188	147.031	147.345	0.004	0.004	0.004
2540	70	149.317	149.276	149.359	0.004	0.004	0.004
2560	70	150.351	149.382	151.321	0.004	0.004	0.004
2580	70	152.953	151.951	153.955	0.004	0.004	0.004
2600	70	155.178	153.560	156.796	0.004	0.004	0.004
2620	70	157.484	155.806	159.162	0.004	0.004	0.004
2640	70	159.986	158.252	161.720	0.004	0.004	0.004
2660	70	162.580	161.150	164.010	0.004	0.004	0.004
2680	70	164.051	162.328	165.774	0.004	0.004	0.004
2700	70	166.303	164.398	168.207	0.004	0.004	0.004
2720	70	168.632	166.668	170.597	0.004	0.004	0.004
2740	70	170.677	169.166	172.188	0.004	0.004	0.004
2760	70	172.938	171.642	174.233	0.004	0.004	0.004
2780	70	173.975	172.753	175.196	0.004	0.004	0.004
2800	70	176.526	175.135	177.916	0.004	0.004	0.004
2820	70	177.957	176.383	179.531	0.004	0.004	0.004
2840	70	179.697	177.491	181.904	0.004	0.004	0.004
2860	70	182.289	180.031	184.547	0.004	0.004	0.004
2880	70	184.302	182.270	186.334	0.004	0.004	0.004
2900	70	186.418	184.186	188.651	0.004	0.004	0.004
2920	70	188.363	186.362	190.365	0.004	0.004	0.004
2940	70	190.728	188.822	192.633	0.004	0.004	0.004
2960	70	193.080	191.276	194.885	0.004	0.004	0.004
2980	70	194.065	191.888	196.241	0.004	0.004	0.004
3000	70	196.334	193.954	198.714	0.004	0.004	0.004
