poll	workload	req_delay	req_min	req_max	rep_delay	rep_min	rep_max
615	55	0.305	0.305	0.305	0.004	0.004	0.004
620	55	0.314	0.314	0.314	0.004	0.004	0.004
625	55	0.319	0.319	0.319	0.004	0.004	0.004
630	55	0.326	0.326	0.326	0.004	0.004	0.004
635	55	0.323	0.323	0.323	0.004	0.004	0.004
640	55	0.322	0.322	0.322	0.004	0.004	0.004
645	55	0.322	0.322	0.322	0.004	0.004	0.004
650	55	0.316	0.316	0.316	0.004	0.004	0.004
655	55	0.322	0.322	0.322	0.004	0.004	0.004
660	55	0.333	0.333	0.333	0.004	0.004	0.004
665	55	0.337	0.337	0.337	0.004	0.004	0.004
670	55	0.330	0.330	0.330	0.004	0.004	0.004
675	55	0.345	0.345	0.345	0.004	0.004	0.004
680	55	0.338	0.338	0.338	0.004	0.004	0.004
685	55	0.343	0.343	0.343	0.004	0.004	0.004
690	55	0.358	0.358	0.358	0.004	0.004	0.004
695	55	0.352	0.352	0.352	0.004	0.004	0.004
700	55	0.341	0.341	0.341	0.004	0.004	0.004
705	55	0.350	0.350	0.350	0.004	0.004	0.004
710	55	0.353	0.353	0.353	0.004	0.004	0.004
715	55	0.359	0.359	0.359	0.004	0.004	0.004
720	55	0.367	0.367	0.367	0.004	0.004	0.004
725	55	0.356	0.356	0.356	0.004	0.004	0.004
730	55	0.363	0.363	0.363	0.004	0.004	0.004
735	55	0.361	0.361	0.361	0.004	0.004	0.004
740	55	0.374	0.374	0.374	0.004	0.004	0.004
745	55	0.359	0.359	0.359	0.004	0.004	0.004
750	55	0.375	0.375	0.375	0.004	0.004	0.004
755	55	0.376	0.376	0.376	0.004	0.004	0.004
760	55	0.379	0.379	0.379	0.004	0.004	0.004
765	55	0.383	0.383	0.383	0.004	0.004	0.004
770	55	0.393	0.393	0.393	0.004	0.004	0.004
775	55	0.391	0.391	0.391	0.004	0.004	0.004
780	55	0.384	0.384	0.384	0.004	0.004	0.004
785	55	0.404	0.404	0.404	0.004	0.004	0.004
790	55	0.402	0.402	0.402	0.004	0.004	0.004
795	55	0.398	0.398	0.398	0.004	0.004	0.004
800	55	0.389	0.389	0.389	0.004	0.004	0.004
805	55	0.389	0.389	0.389	0.004	0.004	0.004
810	55	0.403	0.403	0.403	0.004	0.004	0.004
815	55	0.381	0.381	0.381	0.004	0.004	0.004
820	55	0.431	0.431	0.431	0.004	0.004	0.004
825	55	0.406	0.406	0.406	0.004	0.004	0.004
830	55	0.416	0.416	0.416	0.004	0.004	0.004
835	55	0.420	0.420	0.420	0.004	0.004	0.004
840	55	0.430	0.430	0.430	0.004	0.004	0.004
845	55	0.412	0.412	0.412	0.004	0.004	0.004
850	55	0.423	0.423	0.423	0.004	0.004	0.004
855	55	0.426	0.426	0.426	0.004	0.004	0.004
860	55	0.439	0.439	0.439	0.004	0.004	0.004
865	55	0.442	0.442	0.442	0.004	0.004	0.004
870	55	0.420	0.420	0.420	0.005	0.005	0.005
875	55	0.436	0.436	0.436	0.004	0.004	0.004
880	55	0.442	0.442	0.442	0.004	0.004	0.004
885	55	0.459	0.459	0.459	0.004	0.004	0.004
890	55	0.443	0.443	0.443	0.004	0.004	0.004
895	55	0.441	0.441	0.441	0.004	0.004	0.004
900	55	0.455	0.455	0.455	0.004	0.004	0.004
905	55	0.457	0.457	0.457	0.004	0.004	0.004
910	55	0.455	0.455	0.455	0.004	0.004	0.004
915	55	0.443	0.443	0.443	0.004	0.004	0.004
920	55	0.490	0.490	0.490	0.004	0.004	0.004
925	55	0.456	0.456	0.456	0.004	0.004	0.004
930	55	0.466	0.466	0.466	0.004	0.004	0.004
935	55	0.474	0.474	0.474	0.004	0.004	0.004
940	55	0.474	0.474	0.474	0.004	0.004	0.004
945	55	0.471	0.471	0.471	0.004	0.004	0.004
950	55	0.487	0.487	0.487	0.004	0.004	0.004
955	55	0.465	0.465	0.465	0.004	0.004	0.004
960	55	0.471	0.471	0.471	0.004	0.004	0.004
965	55	0.500	0.500	0.500	0.004	0.004	0.004
970	55	0.481	0.481	0.481	0.004	0.004	0.004
975	55	0.498	0.498	0.498	0.004	0.004	0.004
980	55	0.488	0.488	0.488	0.004	0.004	0.004
985	55	0.513	0.513	0.513	0.004	0.004	0.004
990	55	0.488	0.488	0.488	0.004	0.004	0.004
